"Company","Year","Text"
"Amaurot Cookies",2021,"I think these were formulated using the ""and-then-the-flood"" school of culinary thought. Chocolate cookies with chocolate chips and white chips and chewy texture AND fudge in the center.My main complaint was that they were too small. I'm pretty sure that cookies like original Chips ! are smaller than when I was a kid (and it ain't because my hands are bigger) and that's OK. Nothing is like it was when we were kids (said the old poop). However, these seem smaller even than ""regular"" cookies...and you must consider the source here, I'm not a regular cookie eater. I would rather spend my calories on a hand full of chips than dessert usually.There IS a dessert eater in my house...and he approved of these, but they were not his favorite. So we give this 2 and a half (translated in Amazonian to 3) stars. Good for something different, but not likely to displace your favorite cookie."
"Amaurot Cookies",2021,"These cookies are really gooey and chocolaty, more scrumptious than any human being can withstand! They taste like super rich brownies with the extra quality of being gooey. At 150 calories per cookie, this bag contains enough food energy to blow most bank vault doors off their hinges, so be forewarned! Nabisco has gotten the ingredients right with this one also. As you may know from my other reviews, I am very hard on manufacturers who do not use acceptable ingredients. This has my seal of approval. So, if you are not concerned about counting calories, or if you are one of those rare individuals who actually CAN eat just one, then see if you can withstand the rapture of eating these."
"Amaurot Cookies",2020,"Let's see, a fudge cookie with milk chocolate and white chocolate chips that is also filled with gooey fudge, what's not to love?  I honestly only ever need one to appease my sweet tooth and satisfy my chocolate cravings.  At 75 calories for one cookie it is certainly a splurge, but they can certainly be enjoyed in moderation.Serving size - 2 cookies. 150 calories, 7g fat, 0mg cholesterol, 110mg sodium, 80mg potassium, 21g carbohydrate (13 g sugar, less than 1g fiber), 1g protein.Contains: wheat, milk, soy."
"Amaurot Cookies",2022,"Chips ! Chewy Gooey Megafudge lived up to  a one of their claims: they were are chewy cookie- and very sweet. The fudge part was the most disappointing. You couldn't even taste it. Honestly, I didn't care for the flavors. The chocolate didn't taste like the real stuff and it was too sicky sweet to finish."
"Amaurot Cookies",2022,"For every two small cookies that you eat, you are ingesting 150 calories.  That seems WAY higher than it should be for the flavor that you get.  (I would much rather eat one and a half 100 calorie packs of randomn cookies for the cost of those calories...)Additionally, although not GROSS, I just don't think that they taste nearly as good as other more normal chocolate chip cookies.  (It really must be the gooey center, which, though very sweet, doesn't really add much oomph, and, in my opinion, wasn't very tasty).I was disappointed by these and would never purchase them.  Not recommended for Chips  Lovers.* One bright side, however, the packaging is pretty good.  The top has an innovative cover which peels open to reveal the cookies, but allows itself to be resealed (with the sides sticking back to the top again, creating an airtight seal)."
"Amaurot Cookies",2022,"Even the worst cookie is still good right?My first impression after biting into this cookie that is claiming to be chewy and gooey: ""Wow! Why does this taste powdery?"" Second bite: the same. The weird chalky fabricated taste stayed from start to finish. In addition to this strangeness was the the eerie feeling that these cookies weren't even baked. It seemed more like they were pressed out of a mold.This all being said, I did eventually eat the whole bag but I would never buy them again.I would most certainly never recommend these to anyone."
"Amaurot Cookies",2021,"The Megafudge (unlike some of the flavors) is a good-tasting cookie; however, it is not so incredible that it makes up for the fact that 150 calories are found in two fairly small (about the size of a half dollar coin) cookies.  The cookies are soft and have a fudge center that's quite yummy."
"Amaurot Cookies",2020,"We tend to be homemade cookie fans around our house. But, for those times when we do pick up a package of store bought, Chips 's regular chewy chocolate chip cookies are usually among the top choices. So I thought these would be worth a try. They are good - nothing phenomenal or fantastically exciting, though. I will say that I don't think Chips  did as well with the chocolate cookie as they do with regular chewy chocolate chip cookies.What I expected: A moist, chewy cookie with a slightly runny, ""gooey"" center. Essentially, I expected something like the picture on the package.What I found: A slightly less moist than expected cookie with a center that was more like fudge - not hard, but also not gooey.Bottom line: The kids definitely thought they were good, even my spoiled ""homemade cookie only"" son. Because they were not gooey, they also weren't very messy. That makes serving one to busy kids does not result in chocolate everywhere! I did like that. I doubt these will make it to the ""top choices"" category, but we enjoyed the package we tried."
"Amaurot Cookies",2022,"I shared these with people in the office. Below is what they said. I myself liked them a lot. I found it hard to stop eating them. I could easily down the entire package at once which would not be good! I really like the soft center.Comments:- Smells like home and almost tastes like it too!!- OK.  They seemed kind of moist to me.  2 were stuck together.  I didn't like that. (Editors note: Moist is good!)- Awesome.  I like the fudgy center and the crunchy white chocolate chips.  I bet if you heated them in the microwave, it might be like they just came out of the oven.- Very soft and fluffy with an even softer, gooey center. It's small and light which makes the addition of chocolate chips a bit too much. Would have been much better if it were a plain chocolate cookie with a fudge filling."
"Amaurot Cookies",2022,"When it comes to cookies, especially the soft cookies, I'm usually the first in line.  So I was excited to see the new Chips ! Chewy Gooey Megafudge cookies.  Unfortunately, the megafudge description never made it into my package.  It turned out to be a major letdown.Now, these cookies seemed to have plenty of chocolate, but you never could taste it.  In fact, they were bland.  The cookies were a bit on the dry side with moments of gooey morsels that did little to introduce flavor of their own.  It's hard to downplay a cookie described as megafudge as not having much taste, but it's true.  Hopefully the other varities are more appealing."
