"Year","Lon","Lat","County"
2020,-3.32945,54.47094,"Cumbria"
2020,0.14171,52.47215,"Cambridgeshire"
2020,-0.63234,51.46394,"Windsor and Maidenhead"
2020,-0.16031,53.78528,"East Riding of Yorkshire"
2020,-1.68535,51.22402,"Wiltshire"
2020,-1.36169,53.66932,"Wakefield"
2020,-2.06768,51.19858,"Wiltshire"
2020,-0.9027,52.72546,"Leicestershire"
2020,-0.48571,51.26946,"Surrey"
2020,-1.04638,52.84403,"Nottinghamshire"
2020,-0.78036,52.93112,"Leicestershire"
2020,-1.69244,51.74781,"Oxfordshire"
2020,-0.24802,51.25746,"Surrey"
2020,0.80731,52.08658,"Suffolk"
2020,-2.22517,53.45116,"Manchester"
2020,-2.51361,54.97363,"Northumberland"
2020,-0.53412,53.62132,"North Lincolnshire"
2020,1.23324,52.12109,"Suffolk"
2020,-1.91403,53.80972,"Bradford"
2020,-1.36523,53.96107,"North Yorkshire"
2020,-3.91509,51.02276,"Devon"
2020,-0.312,53.87507,"East Riding of Yorkshire"
2020,-1.56046,51.35668,"Wiltshire"
2020,-0.4137,53.14094,"Lincolnshire"
2020,-2.17795,55.82127,"Scottish Borders"
2020,-1.09394,53.78195,"North Yorkshire"
2020,-2.41576,51.92853,"Gloucestershire"
2020,-4.49648,50.88917,"Cornwall"
2020,-1.03365,53.51695,"Doncaster"
2020,-1.98496,55.22538,"Northumberland"
2020,-2.09405,52.95434,"Staffordshire"
2020,-1.40974,51.74439,"Oxfordshire"
2020,-2.89123,52.11684,"Herefordshire, County of"
2020,-0.56006,52.38501,"Northamptonshire"
2020,-1.02687,51.26168,"Hampshire"
2020,-2.08036,54.36439,"North Yorkshire"
2020,-0.2047,51.10833,"West Sussex"
2020,-1.92571,55.31985,"Northumberland"
2020,-0.54574,51.49729,"Slough"
2020,-1.29395,54.28402,"North Yorkshire"
2020,-2.62603,51.35232,"Bath and North East Somerset"
2020,-1.90824,51.73283,"Gloucestershire"
2020,-3.11532,52.69366,"Powys"
2020,-0.28365,51.79059,"Hertfordshire"
2020,0.24576,52.78244,"Lincolnshire"
2020,0.32828,52.01514,"Essex"
2020,-1.88974,52.81266,"Staffordshire"
2020,-1.29045,54.39268,"North Yorkshire"
2020,0.17391,52.51243,"Cambridgeshire"
2020,0.42591,52.00203,"Essex"
2020,-0.85895,52.43655,"Northamptonshire"
2020,-1.15741,51.43345,"West Berkshire"
2020,-1.07049,52.27262,"Northamptonshire"
2020,-2.06345,52.96408,"Staffordshire"
2020,-0.62114,51.81827,"Buckinghamshire"
2020,-0.65406,53.37875,"Lincolnshire"
2020,-1.67805,52.88701,"Derbyshire"
2020,-0.95389,52.93709,"Nottinghamshire"
2020,-2.57695,51.33125,"Bath and North East Somerset"
2020,0.76186,52.61271,"Norfolk"
2020,-1.19569,53.01613,"Nottinghamshire"
2020,-0.58845,51.77635,"Hertfordshire"
2020,-1.37625,53.45548,"Rotherham"
2020,-2.13454,53.54925,"Oldham"
2020,0.54344,51.36953,"Medway"
2020,-0.74182,52.06913,"Milton Keynes"
2020,-1.43676,50.86487,"Hampshire"
2020,0.5194,52.07399,"Suffolk"
2020,-1.26828,52.43897,"Warwickshire"
2020,-1.93471,51.54937,"Wiltshire"
2020,-1.04952,51.27202,"Hampshire"
2020,-1.8867,53.83725,"Bradford"
2020,-2.53383,51.3496,"Bath and North East Somerset"
2020,-2.5086,52.84506,"Shropshire"
2020,-0.75345,53.87804,"East Riding of Yorkshire"
2020,-1.73843,51.21195,"Wiltshire"
2020,-1.07747,52.16431,"Northamptonshire"
2020,-2.35749,54.29835,"Cumbria"
2020,-3.21528,50.8908,"Devon"
2020,0.2162,53.07048,"Lincolnshire"
2020,-1.68668,53.09117,"Derbyshire"
2020,0.78086,52.39065,"Norfolk"
2020,-1.37085,51.68223,"Oxfordshire"
2020,-0.82334,54.19016,"North Yorkshire"
2020,0.08268,52.7725,"Lincolnshire"
2020,-1.88777,54.27057,"North Yorkshire"
2020,-0.58354,54.326,"North Yorkshire"
2020,-0.0872,53.2708,"Lincolnshire"
2020,0.15322,51.78737,"Essex"
2020,-0.50748,51.35709,"Surrey"
2020,-1.08424,51.25372,"Hampshire"
2020,-3.54901,51.6234,"Bridgend"
2020,-1.36327,53.7698,"Leeds"
2020,-1.07862,51.0098,"Hampshire"
2020,-1.16044,54.14451,"North Yorkshire"
2020,0.3617,51.85951,"Essex"
2020,-0.40213,52.33424,"Cambridgeshire"
2020,-1.21325,51.06549,"Hampshire"
2020,-3.71066,51.20438,"Somerset"
2020,-2.46249,53.5163,"Wigan"
2020,-0.94778,52.51571,"Leicestershire"
2020,-2.22976,50.64756,"Dorset"
2020,0.12284,52.6765,"Cambridgeshire"
2020,0.14474,52.45331,"Cambridgeshire"
2020,0.43911,52.15576,"Suffolk"
2020,-1.21841,52.7911,"Leicestershire"
2020,0.70616,52.36331,"Suffolk"
2020,-2.6094,51.71212,"Gloucestershire"
2020,-1.01146,53.96847,"York"
2020,-1.2291,54.2542,"North Yorkshire"
2020,-1.38204,51.21,"Hampshire"
2020,-1.89289,52.68916,"Staffordshire"
2020,-0.66698,53.088,"Lincolnshire"
2020,-0.53605,53.90368,"East Riding of Yorkshire"
2020,-0.96056,52.5769,"Leicestershire"
2020,-0.63307,52.47562,"Northamptonshire"
2020,-1.17046,53.93833,"York"
2020,-1.94851,53.91176,"Bradford"
2020,-1.80722,53.50055,"Derbyshire"
2020,-2.44148,54.72565,"Cumbria"
2020,-0.18156,52.5444,"Cambridgeshire"
2020,-1.01596,52.9001,"Nottinghamshire"
2020,-1.67329,54.2856,"North Yorkshire"
2020,-1.92142,51.63765,"Wiltshire"
2020,-0.97512,53.29987,"Nottinghamshire"
2020,1.09652,51.17047,"Kent"
2020,-0.04659,52.01246,"Hertfordshire"
2020,-2.35367,51.45415,"South Gloucestershire"
2020,-0.9597,50.94172,"Hampshire"
2020,-1.09861,52.21681,"Northamptonshire"
2020,0.10616,51.71133,"Essex"
2020,-2.53955,53.39957,"Warrington"
2020,-0.89349,52.49293,"Leicestershire"
2020,-2.06785,52.82222,"Staffordshire"
2020,-3.70746,51.73477,"Neath Port Talbot"
2020,-1.99052,50.93595,"Dorset"
2020,-0.25007,51.13281,"West Sussex"
2020,-0.55659,51.73677,"Hertfordshire"
2020,-1.39682,51.881,"Oxfordshire"
2020,-1.15795,52.1203,"Northamptonshire"
2020,0.81916,52.54312,"Norfolk"
2020,-1.84551,54.07302,"North Yorkshire"
2020,-0.66359,52.03439,"Milton Keynes"
2020,-1.08116,51.11997,"Hampshire"
2020,-0.55863,52.09312,"Bedford"
2020,-0.05263,50.95223,"East Sussex"
2020,-0.68993,51.75943,"Buckinghamshire"
2020,-0.59682,53.48555,"North Lincolnshire"
2020,-0.68245,53.01189,"Lincolnshire"
2020,-2.0743,53.15506,"Staffordshire"
2020,-1.52749,53.52316,"Barnsley"
2020,-1.29322,51.02791,"Hampshire"
2020,-0.24711,50.91501,"West Sussex"
2020,-2.18709,52.65122,"Staffordshire"
2020,-0.82283,53.96318,"East Riding of Yorkshire"
2020,-1.06606,51.5186,"Oxfordshire"
2020,-3.04497,52.68985,"Shropshire"
2020,-0.48327,51.73796,"Hertfordshire"
2020,-1.4465,54.77066,"County Durham"
2020,0.99347,52.10503,"Suffolk"
2020,-1.49107,52.88748,"Derby"
2020,-0.24687,51.40983,"Greater London"
2020,-1.58219,52.94324,"Derbyshire"
2020,-2.0875,52.68911,"Staffordshire"
2020,-1.44867,54.47789,"North Yorkshire"
2020,-1.13151,53.10434,"Nottinghamshire"
2020,-1.0138,51.75722,"Buckinghamshire"
2020,-0.7589,52.69861,"Rutland"
2020,-1.10307,51.45955,"West Berkshire"
2020,-2.30176,54.36165,"North Yorkshire"
2020,-1.03841,51.97845,"Buckinghamshire"
2020,-2.09145,52.38012,"Worcestershire"
2020,-2.20095,52.53893,"Staffordshire"
2020,-2.29033,53.7392,"Lancashire"
2020,-2.18212,52.42645,"Staffordshire"
2020,-0.95853,52.38298,"Northamptonshire"
2020,-0.87205,51.90352,"Buckinghamshire"
2020,0.39778,52.62529,"Norfolk"
2020,-1.03423,51.25559,"Hampshire"
2020,-0.65885,52.57786,"Rutland"
2020,0.20867,52.18796,"Cambridgeshire"
2020,-0.04085,51.76204,"Hertfordshire"
2020,-0.51426,52.11604,"Bedford"
2020,-0.31331,52.4048,"Cambridgeshire"
2020,-1.35672,52.64114,"Leicestershire"
2020,-0.00527,52.66032,"Cambridgeshire"
2020,0.56754,51.7023,"Essex"
2020,-1.17241,52.48722,"Leicestershire"
2020,-1.82997,55.20457,"Northumberland"
2020,1.32752,52.82907,"Norfolk"
2020,-1.72798,53.11639,"Derbyshire"
2020,-1.47405,51.2744,"Hampshire"
2020,0.3532,51.76583,"Essex"
2020,-0.11882,52.84613,"Lincolnshire"
2020,-0.534,51.70284,"Hertfordshire"
2020,0.99936,52.53726,"Norfolk"
2020,-1.6035,51.69829,"Oxfordshire"
2020,-1.92011,55.31835,"Northumberland"
2020,-0.40118,52.34457,"Cambridgeshire"
2020,-2.02601,51.08456,"Wiltshire"
2020,0.85071,51.87698,"Essex"
2020,-0.45557,52.94575,"Lincolnshire"
2020,-2.97768,53.65183,"Sefton"
2020,-1.05642,52.04476,"Buckinghamshire"
2020,-1.51255,51.73773,"Oxfordshire"
2020,-2.33295,55.12651,"Northumberland"
2020,-0.14354,51.21535,"Surrey"
2020,0.82488,52.73936,"Norfolk"
2020,-1.29313,52.43722,"Warwickshire"
2020,0.52417,52.54709,"Norfolk"
2020,-0.49484,53.65659,"North Lincolnshire"
2020,-0.53431,54.26444,"North Yorkshire"
2020,-1.81438,55.2971,"Northumberland"
2020,-2.84212,50.86123,"Somerset"
2020,-0.94025,52.42517,"Northamptonshire"
2020,-0.66132,54.29395,"North Yorkshire"
2020,-1.11079,53.4994,"Doncaster"
2020,-1.04321,53.43711,"Doncaster"
2020,-0.87569,53.21963,"Nottinghamshire"
2020,-0.49219,51.28198,"Surrey"
2020,-2.5639,53.01576,"Cheshire East"
2020,-0.1623,52.84349,"Lincolnshire"
2020,-1.03737,51.17504,"Hampshire"
2020,-2.08783,52.59276,"Wolverhampton"
2020,-1.12089,50.91544,"Hampshire"
2020,-0.29108,53.81589,"East Riding of Yorkshire"
2020,-0.76924,50.83951,"West Sussex"
2020,-1.58945,54.90497,"Gateshead"
2020,-1.89027,54.19262,"North Yorkshire"
2020,-1.36405,54.58918,"Stockton-on-Tees"
2020,-1.77391,52.74121,"Staffordshire"
2020,-0.78506,51.07075,"West Sussex"
2020,-1.17169,50.82245,"Hampshire"
2020,-1.79416,51.92898,"Gloucestershire"
2020,-2.29164,54.82648,"Northumberland"
2020,0.30473,51.4758,"Thurrock"
2020,-2.13391,53.82143,"Lancashire"
2020,-0.94129,51.43232,"Wokingham"
2020,-1.92666,54.54541,"County Durham"
2020,-1.54539,52.86309,"Derbyshire"
2020,-3.41277,53.03486,"Denbighshire"
2020,-0.10203,52.3276,"Cambridgeshire"
2020,-0.31756,51.62305,"Greater London"
2020,-1.38701,54.32912,"North Yorkshire"
2020,-3.6112,56.12838,"Fife"
2020,-0.62099,54.44631,"North Yorkshire"
2020,-2.31116,54.32595,"North Yorkshire"
2020,-2.583,55.03795,"Cumbria"
2020,-0.10935,52.70107,"Lincolnshire"
2020,-1.72689,52.32401,"Warwickshire"
2020,-0.80555,52.33723,"Northamptonshire"
2020,-1.68445,53.73203,"Kirklees"
2020,-1.51379,54.90958,"Sunderland"
2020,-1.11116,51.01504,"Hampshire"
2020,-1.22003,53.96617,"North Yorkshire"
2020,-0.86478,52.15397,"Northamptonshire"
2020,-1.48391,53.08568,"Derbyshire"
2020,0.07237,52.48235,"Cambridgeshire"
2020,-0.82817,52.62461,"Leicestershire"
2020,-0.81644,52.74756,"Leicestershire"
2020,0.00225,51.4836,"Greater London"
2020,-0.67642,54.44677,"North Yorkshire"
2020,-0.44811,51.57009,"Greater London"
2020,-1.16288,51.23587,"Hampshire"
2020,-2.69571,50.74161,"Dorset"
2020,-0.61163,53.0502,"Lincolnshire"
2020,-2.14071,50.86819,"Dorset"
2020,-1.00086,51.87317,"Buckinghamshire"
2020,-2.17843,51.37295,"Wiltshire"
2020,-1.94587,54.33355,"North Yorkshire"
